Angle1,x1,y1,x2,y2,x3,y3
-2.27,39,-982,13,916,-5,70
-2.39,41,-982,15,916,-7,66
-2.4,41,-980,15,916,-7,70
-2.27,39,-982,15,914,-5,70
-2.16,37,-982,13,916,-7,64
-2.39,41,-984,15,916,-7,70
-2.15,37,-986,15,916,-7,70
-2.4,41,-978,17,917,-5,70
-2.39,41,-982,17,912,-5,68
-2.27,39,-986,11,914,-1,68
-2.39,41,-982,11,916,-5,68
-2.38,41,-986,15,910,-7,68
-2.39,41,-982,11,912,-5,74
-2.27,39,-984,13,914,-5,66
-2.27,39,-984,15,916,-7,70
-2.27,39,-982,15,908,-5,70
-2.27,39,-984,13,912,-3,70
-2.39,41,-982,13,914,-3,68
-2.39,41,-984,17,912,-9,68
-2.39,41,-984,11,908,-3,70
-2.4,41,-980,15,912,-9,72
-2.27,39,-984,13,908,-5,68
-2.27,39,-984,11,910,-3,68
-2.57,44,-982,15,912,-7,68
-2.27,39,-984,17,910,-9,72
-2.27,39,-984,17,914,-5,72
-2.28,39,-980,13,916,-5,72
-2.4,41,-980,15,912,-5,68
-2.46,42,-978,15,916,-1,70
-2.4,41,-978,11,916,-7,68
-2.4,41,-980,11,916,-1,72
-2.29,39,-976,17,916,-5,70
-2.4,41,-978,15,914,-3,70
-2.44,42,-984,15,916,-1,70
-2.16,37,-980,13,914,-5,66
-2.4,41,-978,15,916,-7,70
-2.16,37,-982,13,917,-3,74
-2.44,42,-984,11,914,-7,66
-2.28,39,-980,15,917,-1,72
-2.28,39,-980,13,914,-3,70
-2.4,41,-980,13,914,-5,68
-2.39,41,-982,9,912,-5,66
-2.45,42,-980,15,916,-5,70
-2.45,42,-980,17,912,-1,70
-2.4,41,-978,17,914,-5,68
-2.28,39,-980,15,910,-3,72
-2.28,39,-980,17,914,-5,72
-2.41,41,-976,11,914,-3,72
-2.39,41,-982,19,917,-7,66
-2.57,44,-980,13,914,-3,64
-2.45,42,-982,15,916,-7,70
-2.4,41,-980,15,914,-5,70
-2.4,41,-978,9,914,-5,64
-2.4,41,-980,13,914,-7,70
-2.4,41,-980,17,912,-3,66
-2.39,41,-982,17,914,-5,66
-2.05,35,-980,13,910,-3,66
-2.16,37,-982,17,914,-3,68
-2.57,44,-980,13,916,-5,70
-2.4,41,-980,15,910,-3,74
-2.38,41,-986,13,908,-5,66
-2.15,37,-986,15,916,-5,70
-2.39,41,-982,9,914,-7,68
-2.39,41,-982,17,912,-5,66
-2.15,37,-984,11,910,-5,72
-2.27,39,-984,13,910,-7,66
-2.39,41,-982,15,910,-7,68
-2.16,37,-980,19,916,-5,66
-2.27,39,-984,15,912,-7,68
-2.05,35,-978,13,914,-7,70
-2.4,41,-980,15,916,-5,66
-2.41,41,-976,11,916,-5,68
-1.82,31,-978,17,912,-7,60
-2.17,37,-978,11,914,-5,64
-2.29,39,-976,13,916,-3,68
-2.05,35,-980,19,912,-3,68
-2.04,35,-982,19,910,-5,62
-2.28,39,-980,13,916,-3,68
-2.28,39,-980,13,914,-7,70
-2.39,41,-982,19,914,-3,66
-2.29,39,-976,11,912,-9,64
-2.05,35,-980,15,914,-9,64
-1.93,33,-978,17,917,-9,62
-2.29,39,-974,15,914,-5,62
-2.28,39,-980,13,914,-7,68
-2.4,41,-980,15,916,-5,66
-2.05,35,-978,15,917,-3,64
-2.27,39,-984,15,916,-5,70
-2.39,41,-982,13,916,-7,72
-2.27,39,-982,17,912,-3,64
-2.17,37,-978,11,916,-3,68
-2.05,35,-978,17,914,-9,66
-1.94,33,-976,15,916,-9,58
-2.05,35,-980,11,914,-7,70
-2.16,37,-982,11,916,-1,62
-1.81,31,-980,13,916,-5,70
-2.16,37,-980,17,914,-9,66
-2.4,41,-980,13,916,-1,70
-1.92,33,-984,13,917,-5,62
-2.4,41,-978,13,914,-7,66
-2.45,42,-982,13,912,-3,70
-2.28,39,-978,15,916,-7,66
-2.4,41,-980,17,912,-3,68
-2.17,37,-976,15,916,-3,66
-2.05,35,-980,13,912,-5,66
-2.27,39,-984,19,916,-3,68
-2.27,39,-984,15,914,-7,64
-2.17,37,-978,13,917,-3,64
-2.04,35,-982,17,914,-7,68
-2.68,46,-982,11,917,-1,68
-2.17,37,-978,15,912,-3,70
-2.39,41,-984,13,914,-5,72
-2.45,42,-982,15,912,-1,70
-2.05,35,-978,17,917,-5,60
-2.27,39,-984,11,917,-5,66
-2.45,42,-982,15,912,-5,66
-2.46,42,-978,15,917,-3,68
-1.92,33,-982,17,916,-7,60
-1.93,33,-980,17,912,-7,60
-2.03,35,-986,17,917,-9,68
-2.04,35,-984,15,917,-3,68
-1.81,31,-982,11,912,-3,60
-1.69,29,-984,15,914,-3,62
-2.27,39,-982,13,912,-7,70
-1.92,33,-982,15,916,-5,64
-1.92,33,-984,13,914,-1,62
-1.81,31,-980,17,912,-7,60
-1.81,31,-982,15,916,-5,64
-2.04,35,-982,21,917,-7,60
-2.39,41,-984,9,916,-7,70
-2.4,41,-978,17,912,-9,62
-2.45,42,-980,15,914,-3,72
-2.15,37,-986,19,917,-7,70
-2.57,44,-982,13,917,-7,76
-2.44,42,-986,13,917,-3,72
-2.68,46,-982,15,917,-7,72
-2.56,44,-984,17,914,-3,76
-2.56,44,-986,13,917,-5,70
-2.44,42,-986,17,916,-3,74
-2.38,41,-986,19,916,-7,70
-2.03,35,-986,19,914,-7,68
-2.16,37,-982,17,914,-5,66
-1.8,31,-984,19,916,-5,60
-2.05,35,-980,15,912,-5,64
-2.03,35,-986,13,914,-1,62
-2.03,35,-986,11,917,-3,64
-1.92,33,-982,15,912,-7,60
-1.68,29,-986,11,914,-5,58
-2.03,35,-986,13,914,-3,66
-2.27,39,-984,15,910,-3,70
-2.39,41,-984,15,912,-5,72
-2.44,42,-986,13,912,-5,72
-2.44,42,-984,15,914,-5,72
-2.16,37,-982,13,912,-5,70
-2.15,37,-986,13,910,-7,68
-2.15,37,-984,15,910,-7,68
-2.15,37,-986,11,914,-3,68
-2.26,39,-988,15,914,-3,72
-2.44,42,-984,13,916,-5,66
-2.15,37,-986,11,914,-1,66
-2.38,41,-988,17,912,-9,70
-2.44,42,-986,15,912,-5,70
-2.38,41,-986,13,912,-7,72
-2.44,42,-984,15,910,-7,68
-2.05,35,-980,15,910,0,64
-2.04,35,-982,13,912,-3,62
-2.03,35,-988,15,910,-5,66
-2.16,37,-982,17,912,-9,62
-2.16,37,-982,17,908,-7,66
-1.92,33,-984,15,910,-9,68
-2.27,39,-982,13,914,-9,68
-2.15,37,-984,13,908,-1,68
-2.03,35,-988,17,912,-9,58
-2.14,37,-988,19,912,-7,64
-1.92,33,-984,11,912,-1,66
-1.8,31,-984,17,912,-5,60
-1.69,29,-980,15,910,-9,60
-2.27,39,-982,17,910,-7,66
-2.39,41,-982,23,910,-11,66
-2.39,41,-984,17,910,-9,66
-2.27,39,-982,9,916,-3,66
-1.93,33,-980,7,912,-3,64
-2.27,39,-984,13,916,-3,68
-2.05,35,-980,11,910,-1,64
-2.16,37,-982,9,914,-5,66
-2.57,44,-982,15,910,-3,72
-2.57,44,-982,13,912,-7,72
-2.68,46,-982,13,916,-3,72
-2.69,46,-978,13,914,-5,74
-2.44,42,-984,19,910,-5,70
-2.45,42,-982,13,914,-1,68
-3.14,54,-984,15,916,-3,78
-2.28,39,-980,11,914,-5,70
-2.56,44,-984,11,914,-3,74
-2.44,42,-984,11,914,-1,72
-2.45,42,-980,11,916,-5,70
-2.56,44,-984,15,912,-3,74
-2.44,42,-986,17,912,-7,74
-1.81,31,-982,17,917,-7,58
-2.16,37,-980,17,914,-7,62
-2.15,37,-984,17,916,-7,68
-2.15,37,-986,17,917,-9,66
-1.69,29,-982,17,912,-7,62
-1.68,29,-986,15,912,-3,60
-2.04,35,-984,13,916,-5,64
-2.16,37,-982,15,916,-9,68
-2.05,35,-980,17,914,-1,62
-2.27,39,-982,11,914,-3,68
-1.92,33,-982,17,914,-3,62
-2.44,42,-984,15,917,-7,68
-2.44,42,-986,13,914,-1,70
-2.44,42,-986,15,912,-5,70
-2.45,42,-980,15,912,-3,70
-2.27,39,-982,15,914,-7,64
-2.04,35,-982,15,910,-5,64
-2.39,41,-984,13,910,-9,70
-2.39,41,-984,15,912,-7,72
-2.16,37,-980,11,910,-3,66
-1.92,33,-982,15,908,-1,64
-2.05,35,-980,19,914,-5,68
-1.81,31,-982,13,914,-3,66
-2.28,39,-978,13,906,-5,68
-2.15,37,-984,11,908,-7,64
-1.92,33,-984,13,914,-7,62
-2.27,39,-984,13,908,-7,60
-2.27,39,-982,9,916,-9,66
-2.45,42,-982,15,908,-7,70
-2.28,39,-980,11,912,-1,66
-2.15,37,-984,15,908,-3,70
-1.81,31,-982,17,910,-7,66
-2.04,35,-982,13,912,-7,64
-2.05,35,-980,17,910,-11,66
-2.16,37,-982,13,914,-5,68
-1.92,33,-984,13,914,-1,62
-1.93,33,-978,13,910,-3,60
-1.92,33,-984,13,912,-3,62
-1.92,33,-984,19,912,-3,58
-1.92,33,-984,13,912,-7,64
-2.39,41,-982,15,916,-5,70
-2.39,41,-984,17,910,-7,70
-2.44,42,-984,17,910,-3,70
-2.04,35,-984,13,910,-5,62
-1.46,25,-984,17,912,-9,56
-1.69,29,-982,17,916,-5,60
-1.8,31,-984,13,914,-5,56
-1.8,31,-986,11,912,0,60
-2.16,37,-982,23,912,-13,62
-1.92,33,-986,15,916,-5,60
-1.69,29,-984,11,912,-5,58
-1.57,27,-986,15,914,-11,54
-1.81,31,-982,11,912,-3,62
