Inclinometer Data Before Filtering,Filtered Data,Norm_Var,Filted Var
2.15656,2.08058,0.000369562,0.201144
1.79364,2.07698,0.0051396,0.201085
2.15656,2.07798,0.000395347,0.201027
1.91314,2.07591,0.00169608,0.200971
2.15656,2.07692,0.000406055,0.200916
2.14759,2.07781,0.000311758,0.200862
2.15656,2.07879,0.000387149,0.20081
2.14759,2.07966,0.000295429,0.200759
2.02838,2.07901,0.000164134,0.200709
2.15656,2.07999,0.00037536,0.20066
1.91314,2.0779,0.0017377,0.200613
2.15206,2.07882,0.000343346,0.200567
2.2715,2.08124,0.00231733,0.200522
2.2715,2.08362,0.00225961,0.200478
2.14759,2.08442,0.000255412,0.200435
2.03686,2.08383,0.000141225,0.200394
1.90519,2.08159,0.00199201,0.200353
1.91713,2.07953,0.00168838,0.200313
1.91314,2.07745,0.00172826,0.200275
2.03261,2.07689,0.00012551,0.200237
2.02416,2.07623,0.000173557,0.2002
1.91713,2.07424,0.00158007,0.200164
2.14759,2.07516,0.000335851,0.20013
2.26677,2.07755,0.00229186,0.200095
2.03261,2.07699,0.000126084,0.200062
2.03686,2.07649,0.00010053,0.20003
2.15206,2.07743,0.000356487,0.199998
1.91713,2.07543,0.00160408,0.199967
2.39592,2.07944,0.00641158,0.199937
1.91314,2.07187,0.00132848,0.727758
2.02416,2.06979,0.000142096,0.698383
2.39092,2.08327,0.00643728,0.671469
2.15206,2.08819,0.000227352,1.14562
2.15656,2.09277,0.000291776,1.07125
2.26677,2.10371,0.00188991,1.00622
2.39092,2.12074,0.0051491,0.948896
2.03686,2.11604,0.000439242,0.897999
2.15206,2.11796,8.10E-05,0.852519
2.02838,2.11341,0.000500867,0.811645
2.15206,2.11528,9.32E-05,0.774724
2.2715,2.12252,0.00152332,0.741218
2.03261,2.11853,0.000504612,0.710684
2.2715,2.12505,0.00146072,0.682751
1.92115,2.11668,0.00259532,0.657108
2.28102,2.12319,0.00168586,0.633492
2.03261,2.11972,0.000512122,0.611678
2.16108,2.12125,0.00010676,0.591474
2.15206,2.12236,5.92E-05,0.572713
2.2715,2.12753,0.00138851,0.555251
2.15206,2.12836,3.76E-05,0.538963
