Angle1,x1,y1,Angle2,x2,y2,Angle3,x3,y3,,Angle_t
-3.06,52,-972,0.946427879,15,908,-2.147580406,-3,80,,3.277668288
-2.83,48,-972,0.946427879,15,908,-5.000632904,-7,80,,3.026028007
-2.83,48,-970,0.948516743,15,906,-3.667779479,-5,78,,3.032695524
-3.06,52,-974,0.952722252,15,902,-5.000632904,-7,80,,3.299422949
-2.93,50,-976,0.946427879,15,908,-6.581929264,-9,78,,3.151863362
-2.82,48,-974,0.946427879,15,908,-3.667779479,-5,78,,3.026028007
-3.07,52,-970,1.074957711,17,906,-6.581929264,-9,78,,3.284887931
-3.17,54,-974,0.822066534,13,906,-3.489316746,-5,82,,3.410936979
-2.7,46,-974,0.946427879,15,908,-5.12817905,-7,78,,2.900163426
-2.71,46,-972,1.198742753,19,908,0,0,83,,2.900163426
-2.73,46,-966,1.077335376,17,904,-6.934332686,-9,74,,2.912973954
-3.41,58,-972,0.814872178,13,914,-0.698692749,-1,82,,3.630960176
-3.29,56,-974,0.946427879,15,908,-5.000632904,-7,80,,3.529182047
-2.49,42,-966,0.950614847,15,904,-2.321525161,-3,74,,2.660052982
-3.16,54,-978,0.94227763,15,912,-3.44737879,-5,83,,3.388549067
-2.73,46,-966,0.823885015,13,904,0,0,78,,2.912973954
-3.3,56,-972,1.067887264,17,912,-0.716158271,-1,80,,3.513742044
-3.06,52,-972,0.946427879,15,908,-5.12817905,-7,78,,3.277668288
-2.6,44,-970,0.825711559,13,902,-5.12817905,-7,78,,2.792695835
-2.82,48,-974,1.070233724,17,910,-4.820754805,-7,83,,3.019389716
-3.06,52,-974,0.823885015,13,904,-6.263475968,-9,82,,3.292139415
-3.06,52,-972,0.692550996,11,910,-6.263475968,-9,82,,3.270480275
-2.83,48,-970,1.070233724,17,910,-3.44737879,-5,83,,3.019389716
-2.71,46,-972,0.697147121,11,904,-0.734519317,-1,78,,2.912973954
-2.83,48,-970,0.948516743,15,906,-4.879262373,-7,82,,3.032695524
-3.17,54,-974,1.201388209,19,906,-4.879262373,-7,82,,3.410936979
-3.06,52,-972,1.077335376,17,904,-3.667779479,-5,78,,3.292139415
-2.83,48,-972,1.074957711,17,906,-4.879262373,-7,82,,3.032695524
-2.95,50,-970,0.822066534,13,906,-3.667779479,-5,78,,3.158807043
-3.29,56,-974,0.692550996,11,910,-6.41877172,-9,80,,3.521445142
-3.05,52,-976,0.946427879,15,908,-4.879262373,-7,82,,3.277668288
-3.07,52,-968,0.823885015,13,904,-2.202593011,-3,78,,3.292139415
-2.94,50,-972,0.946427879,15,908,-3.576326012,-5,80,,3.151863362
-2.94,50,-972,0.946427879,15,908,-4.879262373,-7,82,,3.151863362
-2.95,50,-970,1.070233724,17,910,-5.000632904,-7,80,,3.14495011
-3.19,54,-970,1.201388209,19,906,-4.879262373,-7,82,,3.410936979
-2.7,46,-974,0.692550996,11,910,-3.667779479,-5,78,,2.893800286
-3.06,52,-972,0.94227763,15,912,-3.667779479,-5,78,,3.263323687
-2.94,50,-972,0.948516743,15,906,-6.188601492,-9,83,,3.158807043
-3.07,52,-968,1.072590517,17,908,-5.12817905,-7,78,,3.277668288
-2.83,48,-970,0.818453548,13,910,-5.262383094,-7,76,,3.019389716
-2.83,48,-970,0.944348195,15,910,-6.41877172,-9,80,,3.019389716
-2.94,50,-972,1.198742753,19,908,-3.576326012,-5,80,,3.151863362
-2.94,50,-974,0.946427879,15,908,-5.12817905,-7,78,,3.151863362
-3.07,52,-970,0.94227763,15,912,-6.41877172,-9,80,,3.263323687
-3.06,52,-972,1.196108919,19,910,-2.202593011,-3,78,,3.270480275
-2.83,48,-970,0.946427879,15,908,-2.202593011,-3,78,,3.026028007
-2.95,50,-970,0.818453548,13,910,-3.667779479,-5,78,,3.14495011
-2.94,50,-974,0.946427879,15,908,-3.576326012,-5,80,,3.151863362
-2.84,48,-968,0.69407629,11,908,-6.41877172,-9,80,,3.026028007
-3.05,52,-976,1.072590517,17,908,-3.667779479,-5,78,,3.277668288
-2.94,50,-972,0.944348195,15,910,-7.549404114,-11,83,,3.14495011
-2.94,50,-972,0.946427879,15,908,-3.489316746,-5,82,,3.151863362
-2.7,46,-976,0.94227763,15,912,-5.12817905,-7,78,,2.887464984
-3.06,52,-972,0.944348195,15,910,-5.000632904,-7,80,,3.270480275
-3.06,52,-974,0.695608317,11,906,-6.753558243,-9,76,,3.284887931
